Provinsi/Kabupaten/Kota,
,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen)
Kendal,8.4
Batang,7.79
Pekalongan,8.05
Pemalang,13.32
Tegal,6.16
Brebes,14.15
Kota Magelang,5.68
Kota Surakarta,7.69
Kota Salatiga,4.2
Kota Semarang,3.8
Kota Pekalongan,6.14
Kota Tegal,7.28
D I YOGYAKARTA,10.23
Kulon Progo,14.53
Bantul,11.54
Gunung Kidul,14.15
Sleman,6.71
Kota Yogyakarta,6.14
JAWA TIMUR,9.5
Pacitan,12.97
Ponorogo,8.86
Trenggalek,10.29
Tulungagung,5.96
Blitar,7.57
Kediri,9.81
Malang,8.78
Lumajang,8.6
Jember,8.67
Banyuwangi,6.13
Bondowoso,12.2
Situbondo,11.17
Probolinggo,16.31
Pasuruan,8.21
Sidoarjo,4.4
Mojokerto,8.79
Jombang,8.36
Nganjuk,10.06
Madiun,10.4
Magetan,9.14
Ngawi,13.62
Bojonegoro,11.49
Tuban,14.13
Lamongan,12.03
Gresik,9.95
Bangkalan,18.25
Sampang,20.61
Pamekasan,12.77
Sumenep,17.02
Kota Kediri,6.04
Kota Blitar,6.6
Kota Malang,3.85
Kota Probolinggo,5.69
Kota Pasuruan,6.18
Kota Mojokerto,5.05
Kota Madiun,3.89
Kota Surabaya,3.56
Kota Batu,2.86
BANTEN,5.63
Pandeglang,8.51
Lebak,8.03
Tangerang,6.42
Serang,4.48
Kota Tangerang,5.19
Kota Cilegon,3.44
Kota Serang,5.51
Kota Tangerang Selatan,2.39
BALI,3.72
Jembrana,4.33
Tabanan,4.23
Badung,1.9
Gianyar,3.71
Klungkung,5.18
Bangli,4.83
Karangasem,6.4
Buleleng,5.2
Kota Denpasar,2.16
NUSA TENGGARA BARAT,11.78
Lombok Barat,11.9
Lombok Tengah,10.68
Lombok Timur,13.53
Sumbawa,11.79
Dompu,11.15
Bima,12.59
Sumbawa Barat,10.98
Lombok Utara,20.74
Kota Mataram,7.15
Kota Bima,7.33
NUSA TENGGARA TIMUR,18.6
Sumba Barat,26.47
Sumba Timur,25.64
Kupang,20.32
Timor Tengah Selatan,24.5
Timor Tengah Utara,20.17
Belu,12.79
Alor,18.29
Lembata,23.27
Flores Timur,10.88
Sikka,11.25
Ende,21.31
Ngada,11.22
Manggarai,18.1
Rote Ndao,24.37
Manggarai Barat,16.09
Sumba Tengah,29.23
Sumba Barat Daya,25.66
Nagekeo,12.18
Manggarai Timur,23.51
Sabu Raijua,27.18
Malaka,13.52
Kota Kupang,7.57
KALIMANTAN BARAT,6.16
Sambas,6.37
Bengkayang,5.83
Landak,8.9
Mempawah,4.49
Sanggau,4.61
Ketapang,8.44
Sintang,7.93
Kapuas Hulu,6.86
Sekadau,5.61
Melawi,10.51
Kayong Utara,8.75
Kubu Raya,3.99
Kota Pontianak,4
Kota Singkawang,4.28
KALIMANTAN TENGAH,5.19
Kotawaringin Barat,4.27
Kotawaringin Timur,5.83
Kapuas,5.48
Barito Selatan,4.94
Barito Utara,5.52
Sukamara,4.02
Lamandau,3.33
Seruyan,6.72
Katingan,5.3
Pulang Pisau,4.79
Gunung Mas,5.48
Barito Timur,6.1
Murung Raya,6.19
Kota Palangka Raya,3.62
KALIMANTAN SELATAN,3.84
Tanah Laut,3
Kota Baru,4.39
Banjar,2.74
Barito Kuala,4.31
Tapin,2.91
Hulu Sungai Selatan,3.12
Hulu Sungai Tengah,5.03
Hulu Sungai Utara,4.81
Tabalong,4.67
Tanah Bumbu,3.13
Balangan,4.64
Kota Banjarmasin,4.52
Kota Banjar Baru,3.44
KALIMANTAN TIMUR,5.17
Paser,8.13
Kutai Barat,8.72
Kutai Kartanegara,6.72
Kutai Timur,8.07
Berau,4.44
Penajam Paser Utara,5.78
Mahakam Ulu,10.09
Kota Balikpapan,1.97
Kota Samarinda,3.45
Kota Bontang,3.21
KALIMANTAN UTARA,5.54
Malinau,5.56
Bulungan,7.26
Tana Tidung,4.56
Nunukan,5.27
Kota Tarakan,5.03
SULAWESI UTARA,6.71
Bolaang Mongondow,6.98
Minahasa,5.88
Kepulauan Sangihe,10.91
Kepulauan Talaud,8.34
Minahasa Selatan,8.26
Minahasa Utara,6.05
Bolaang Mongondow Utara,7.15
Siau Tagulandang Biaro,8.32
Minahasa Tenggara,10.31
Bolaang Mongondow Selatan,10.52
Bolaang Mongondow Timur,5.32
Kota Manado,4.99
Kota Bitung,5.81
Kota Tomohon,4.86
Kota Kotamobagu,5.14
SULAWESI TENGAH,10.92
Banggai Kepulauan,11.49
Banggai,6.23
Morowali,10.38
Poso,12.9
Donggala,14.66
Toli-Toli,12.2
Buol,12.48
Parigi Moutong,13.51
Tojo Una-Una,14.67
Sigi,10.47
Banggai Laut,12.71
Morowali Utara,10.38
Kota Palu,5.26
SULAWESI SELATAN,7.6
Kepulauan Selayar,10.61
Bulukumba,6.06
Bantaeng,7.68
Jeneponto,11.42
Takalar,7.27
Gowa,6.64
Sinjai,7.41
Maros,8.9
Pangkajene Dan Kepulauan,11.6
Barru,8
Bone,9.13
Soppeng,6.65
Wajo,5.86
Sidenreng Rappang,4.91
Pinrang,8.38
Enrekang,10.73
Luwu,10.97
Tana Toraja,10.54
Luwu Utara,10.74
Luwu Timur,5.79
Toraja Utara,10.05
Kota Makassar,4.43
Kota Parepare,4.44
Kota Palopo,7.18
SULAWESI TENGGARA,10.54
Buton,13.46
Muna,12.4
Konawe,12.78
Kolaka,10.19
Konawe Selatan,11.18
Bombana,10.14
Wakatobi,13.4
Kolaka Utara,12.94
Buton Utara,13.22
Konawe Utara,11.89
Kolaka Timur,12.57
Konawe Kepulauan,14.42
Muna Barat,12.83
Buton Tengah,13.4
Buton Selatan,13.64
Kota Kendari,4.18
